"player","team","position","status","photo","event_points","form","now_cost","points_per_game","selected_by_percent","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","influence","creativity","threat","ict_index","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90","cluster","rec"
"Ederson Santana de Moraes","Man City","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p121160.png",6,2.7,5.5,3,16,54,1620,0,0,5,20,0,0,0,3,0,32,0,320.2,10,0,32.9,0,1.78,0,0,0.94,1.11,1,0.28,5,"Can be alternative"
"Stefan Ortega Moreno","Man City","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p88248.png",0,0,3.8,2,0.8,2,90,0,0,0,1,0,0,0,0,0,2,0,18.6,0,0,1.9,0,2,0,0,0.83,1,1,0,4,"Not recommended"
"André Onana","Man Utd","Goalkeeper","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p202641.png",1,3.5,4.8,3.6,12.5,72,1800,0,0,6,27,0,0,0,3,0,69,5,559.8,20.2,0,58.1,0,3.45,0,0,1.67,1.35,1,0.3,5,"Can be alternative"
"Martin Dubravka","Newcastle","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p67089.png",8,5,4.2,3.6,8.3,25,544,0,0,1,15,0,1,0,1,0,31,1,243.8,10,0,25.4,0,5.13,0,0,3.34,2.48,0.99,0.17,1,"Recommended"
"Nick Pope","Newcastle","Goalkeeper","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p98747.png",0,0,5.3,4,5.6,56,1255,0,0,6,14,0,0,0,0,0,40,1,297.4,0,4,30.1,0,2.87,0,0,1.05,1,1,0.43,5,"Can be alternative"
"Matt Turner","Nott'm Forest","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p224068.png",3,2.5,3.9,2.7,12.3,40,1350,0,0,2,23,0,0,0,1,0,51,0,347.2,0,0,34.6,0,3.4,0,0,1.53,1.53,1,0.13,2,"Can be alternative"
"Odysseas Vlachodimos","Nott'm Forest","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p111452.png",0,0,4.5,2.4,0.1,12,450,0,0,1,12,0,0,0,0,0,10,0,101.8,10,0,11.2,0,2,0,0,1.5,2.4,1,0.2,4,"Not recommended"
"Wes Foderingham","Sheffield Utd","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p82143.png",1,2,4.5,2.5,0.3,49,1800,0,0,1,49,1,0,0,2,0,89,7,615.2,0,0,61.6,0,4.45,0,0,1.99,2.45,1,0.05,2,"Can be alternative"
"Guglielmo Vicario","Spurs","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p184254.png",3,4,5.3,3.5,8.9,70,1800,0,0,5,29,0,0,0,2,0,65,7,557.6,0,0,55.8,0,3.25,0,0,1.78,1.45,1,0.25,5,"Can be alternative"
"Alphonse Areola","West Ham","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p84182.png",11,7.2,4.2,4.4,36.2,74,1530,0,0,4,24,0,1,0,0,0,68,8,516.4,0,0,51.7,0,4,0,0,1.8,1.41,1,0.24,1,"Recommended"
"Lukasz Fabianski","West Ham","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p37096.png",0,2,4.2,4,1.3,12,270,0,0,1,6,0,0,0,0,0,11,1,83,0,0,8.3,0,3.67,0,0,1.58,2,1,0.33,4,"Not recommended"
"Daniel Bentley","Wolves","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p79602.png",0,0.2,3.9,5.3,1.1,16,247,0,0,2,3,0,0,0,0,0,7,1,57.4,0,0,5.7,0,2.55,0,0,1.57,1.09,0.73,0.73,3,"Not recommended"
"José Malheiro de Sá","Wolves","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p149065.png",6,3,5,2.9,1.4,52,1552,0,0,2,28,0,0,0,1,0,53,4,397.8,0,0,39.9,0,3.07,0,0,1.6,1.62,1.04,0.12,2,"Can be alternative"
"Gabriel dos Santos Magalhães","Arsenal","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p226597.png",1,4.5,5,3.2,18,58,1464,1,0,5,17,0,0,0,1,0,0,4,322.2,74.9,112,51,0.07,0,0.02,0.09,0.91,1.05,0.98,0.31,5,"Can be alternative"
"Jakub Kiwior","Arsenal","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p440854.png",1,0.5,4.3,1.6,0.1,13,292,0,0,1,6,0,0,0,0,0,0,0,52,12.6,18,8.4,0.11,0,0.02,0.13,0.59,1.85,1.23,0.31,6,"Not recommended"
"William Saliba","Arsenal","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p462424.png",0,2.5,5.6,3.8,37.2,75,1800,1,1,7,20,0,0,0,2,0,0,6,371.6,89.2,65,52.7,0.06,0,0.03,0.09,0.84,1,1,0.35,5,"Can be alternative"
"Takehiro Tomiyasu","Arsenal","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p223723.png",1,0.2,4.5,3,0.3,39,628,1,1,3,5,0,0,0,0,1,0,3,139.6,67.8,57,26.2,0.07,0,0.06,0.13,1.04,0.72,0.72,0.43,6,"Not recommended"
"Benjamin White","Arsenal","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p198869.png",1,2,5.6,3.6,11.1,69,1475,1,2,6,19,0,0,0,4,0,0,7,339.8,272.8,103,71.5,0.04,0,0.12,0.16,0.89,1.16,1.04,0.37,5,"Can be alternative"
"Oleksandr Zinchenko","Arsenal","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p206325.png",0,2.8,5.2,3.9,10.8,71,1202,1,1,6,11,0,0,0,2,0,0,11,270.6,310.9,96,67.7,0.03,0,0.16,0.19,0.75,0.82,1.05,0.45,5,"Can be alternative"
