"player","team","position","status","photo","event_points","form","now_cost","points_per_game","selected_by_percent","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","influence","creativity","threat","ict_index","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90","cluster","rec"
"Thiago Emiliano da Silva","Chelsea","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p51090.png",1,2.8,5,2.7,4,51,1652,1,0,4,28,0,0,0,2,0,0,5,454,90,78,62.4,0.01,0,0.02,0.03,1.48,1.53,0.98,0.22,5,"Can be alternative"
"Axel Disasi","Chelsea","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p220362.png",0,2.5,4.9,2.8,3.8,51,1596,1,0,4,24,0,0,0,3,0,0,4,342.8,69.1,82,49.4,0.04,0,0.07,0.11,1.36,1.35,1.02,0.23,5,"Can be alternative"
"Alfie Gilchrist","Chelsea","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p514280.png",1,0.5,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.3,0,0,0,0,3.15,0,0,0,3,"Not recommended"
"Joachim Andersen","Crystal Palace","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p174874.png",2,1.2,4.9,3.5,16.4,69,1800,2,1,5,29,0,0,0,4,0,0,9,520.2,193,199,91.2,0.06,0,0.05,0.11,1.48,1.45,1,0.25,5,"Can be alternative"
"Nathaniel Clyne","Crystal Palace","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p57328.png",2,1.5,4.4,1.9,0.1,17,641,0,0,1,9,0,0,0,0,0,0,0,82.8,23,12,11.9,0,0,0.01,0.01,1.53,1.26,0.84,0.14,6,"Not recommended"
"Marc Guéhi","Crystal Palace","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p209036.png",5,2.2,4.5,2.9,3.4,56,1710,0,1,5,26,0,0,0,1,0,0,6,370,63.9,35,47,0.03,0,0.05,0.08,1.39,1.37,1,0.26,5,"Can be alternative"
"Tyrick Mitchell","Crystal Palace","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p244723.png",6,2,4.7,3.3,3.5,62,1627,1,2,5,26,0,0,0,4,0,0,6,354.8,188.2,56,60,0.02,0,0.06,0.08,1.51,1.44,1.05,0.28,5,"Can be alternative"
"Chris Richards","Crystal Palace","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p427623.png",2,1.2,3.9,1.1,0.6,12,741,0,0,0,14,0,0,0,2,0,0,0,140.8,30,8,17.9,0,0,0.01,0.01,1.84,1.7,0.97,0,4,"Not recommended"
"James Tomkins","Crystal Palace","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p49413.png",0,0,4,1,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,3,"Not recommended"
"Joel Ward","Crystal Palace","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p55494.png",0,0.2,4.5,2.2,0.2,36,1332,0,1,4,23,1,0,0,4,0,0,0,219.6,69.4,31,31.9,0.05,0,0.01,0.06,1.46,1.55,1.08,0.27,1,"Not recommended"
"Jarrad Branthwaite","Everton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p480455.png",1,0.5,4.1,2.6,3.3,45,1530,0,0,5,23,0,0,0,6,0,0,5,314.4,43.2,61,41.8,0.02,0,0.06,0.08,1.36,1.35,1,0.29,8,"Not recommended"
"Seamus Coleman","Everton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p59949.png",1,0.2,4.4,3.5,0,7,93,0,0,1,0,0,0,0,0,0,0,0,16,2.2,2,2.1,0,0,0.06,0.06,1.06,0,0.97,0.97,6,"Not recommended"
"Ben Godfrey","Everton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p198826.png",0,1.5,4.3,3.5,0.1,7,91,0,0,1,0,0,0,0,0,0,0,0,9.6,0.8,0,1,0,0,0,0,1.13,0,0.99,0.99,6,"Not recommended"
"Michael Keane","Everton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p106611.png",1,4,4.3,2.6,0.2,18,403,1,0,1,11,0,0,0,1,0,0,2,106,4,90,20,0.13,0,0.01,0.14,2.15,2.46,0.89,0.22,8,"Not recommended"
"Vitalii Mykolenko","Everton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p224967.png",1,0.8,4.6,4.3,5.6,65,1347,2,1,5,19,0,0,0,1,0,0,7,336,101.8,164,60.1,0.09,0,0.04,0.13,1.35,1.27,1,0.33,5,"Can be alternative"
"Nathan Patterson","Everton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p243571.png",0,1.8,4.4,1.8,0.2,33,945,0,2,2,19,0,0,0,4,0,0,3,195.2,131.5,24,35.2,0.03,0,0.1,0.13,1.79,1.81,0.86,0.19,8,"Not recommended"
"James Tarkowski","Everton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p17761.png",0,2,4.5,3.3,5.8,66,1800,1,1,6,28,0,0,0,3,0,0,6,465.8,143.3,186,79.8,0.06,0,0.06,0.12,1.41,1.4,1,0.3,5,"Can be alternative"
"Ashley Young","Everton","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p18892.png",0,0,4.4,1.7,0.3,26,1209,0,0,3,19,1,0,0,4,1,0,2,147.6,238.6,28,41.6,0.02,0,0.08,0.1,1.57,1.41,1.12,0.22,1,"Not recommended"
"Issa Diop","Fulham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p219924.png",1,0.5,4.4,2.5,0.4,25,800,0,0,3,16,0,0,0,2,0,0,2,179.4,17.2,27,22.4,0.02,0,0.03,0.05,2.24,1.8,1.01,0.34,8,"Not recommended"
"Tim Ream","Fulham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p82514.png",0,0,4.5,2.6,0.7,34,1143,1,0,3,24,0,0,0,2,1,0,4,231.4,15.9,45,29.2,0.08,0,0.01,0.09,2.01,1.89,1.02,0.24,8,"Not recommended"
"Antonee Robinson","Fulham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p169528.png",2,1.2,4.4,2.4,1.3,45,1658,0,3,4,34,2,0,0,4,0,0,3,412.2,275.7,86,77.5,0.02,0,0.11,0.13,1.84,1.85,1.03,0.22,1,"Not recommended"
"Kenny Tete","Fulham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p167074.png",0,0.2,4.4,2.5,0.3,20,602,1,0,2,14,0,0,0,2,0,0,0,141,65.7,54,26.1,0.12,0,0.04,0.16,2.55,2.09,1.05,0.3,8,"Not recommended"
"Tosin Adarabioyo","Fulham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p109646.png",2,1.2,4.3,3.4,0.2,27,542,1,0,2,9,0,0,0,0,0,0,2,183.6,16.7,29,23,0.01,0,0.02,0.03,1.7,1.49,1,0.33,6,"Not recommended"
"Calvin Bassey","Fulham","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p232892.png",1,0.5,4.4,1.5,0.2,22,1115,0,0,2,22,0,0,0,2,1,0,0,219.8,23.2,13,25.7,0,0,0.01,0.01,1.77,1.78,0.97,0.16,8,"Not recommended"
"Timothy Castagne","Fulham","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p166477.png",2,1.5,4.5,2.5,0.6,43,1279,0,0,4,20,0,0,0,1,0,0,3,211,164.9,99,47.5,0.03,0,0.06,0.09,1.31,1.41,0.99,0.28,8,"Not recommended"
"Fodé Ballo-Touré","Fulham","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p225897.png",0,0.5,4.5,0.8,0,3,48,0,0,0,1,0,0,0,1,0,0,0,11.2,1.5,2,1.6,0,0,0,0,1.03,1.88,0,0,3,"Not recommended"
"Trent Alexander-Arnold","Liverpool","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p169187.png",0,5.5,8.5,5.4,22.6,97,1498,2,4,7,15,0,0,0,5,0,0,18,420.6,754.6,141,131.7,0.12,0,0.25,0.37,1.04,0.9,1.02,0.42,7,"Recommended"
"Joe Gomez","Liverpool","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p171287.png",1,2.2,4.5,2.3,1.5,39,923,0,0,4,7,0,0,0,2,0,0,1,170.4,164.2,79,41.4,0.07,0,0.03,0.1,1.08,0.68,0.78,0.39,6,"Not recommended"
"Ibrahima Konaté","Liverpool","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p204716.png",1,2.2,4.9,2.6,2,36,881,0,0,4,10,0,0,0,2,0,0,0,208.6,80.8,71,36,0.05,0,0.02,0.07,1.02,1.02,0.92,0.41,6,"Not recommended"
"Joel Matip","Liverpool","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p60914.png",0,0,4.9,2.1,0.3,21,779,0,0,2,9,1,0,0,2,0,0,0,192.8,33.3,35,26.1,0.06,0,0.01,0.07,1.3,1.04,1.04,0.23,1,"Not recommended"
"Andrew Robertson","Liverpool","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p122798.png",0,0,6.4,3.2,2.2,26,720,1,0,1,9,0,0,0,1,0,0,3,196.2,284.3,46,52.7,0.06,0,0.12,0.18,1.42,1.12,1,0.12,8,"Not recommended"
"Konstantinos Tsimikas","Liverpool","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p214285.png",0,2,4.6,4.5,2.8,45,662,0,3,4,7,0,0,0,0,0,0,4,154.8,248.4,26,43,0.01,0,0.16,0.17,1.13,0.95,1.09,0.54,6,"Not recommended"
"Virgil van Dijk","Liverpool","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p97032.png",1,4,6.3,3.9,14.4,71,1557,1,2,6,17,0,0,0,1,1,0,8,492,100.2,219,81.3,0.1,0,0.03,0.13,1.29,0.98,1.04,0.35,5,"Can be alternative"
"Jarell Quansah","Liverpool","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p441428.png",0,1.5,4,2,0.2,12,261,0,0,1,1,0,0,0,0,0,0,0,43.2,5.7,4,5.3,0.02,0,0.01,0.03,0.79,0.34,1.03,0.34,6,"Not recommended"
"Mads Juel Andersen","Luton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p208904.png",0,0.7,3.9,1.9,0.7,15,397,1,0,0,6,0,0,0,1,0,0,1,126.8,1.8,27,15.6,0.06,0,0,0.06,1.73,1.36,0.91,0,4,"Not recommended"
"Amari'i Bell","Luton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p165183.png",1,3,3.9,1.6,3.2,22,1175,0,0,1,27,0,0,0,0,0,0,1,234.4,95.3,42,37.1,0.03,0,0.02,0.05,2.01,2.07,1.07,0.08,8,"Not recommended"
"Reece Burke","Luton","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p156658.png",0,0,4,1.6,0.1,13,595,0,1,0,12,0,0,0,1,0,0,0,131.2,73.8,51,25.6,0.06,0,0.03,0.09,1.87,1.82,1.06,0,4,"Not recommended"
"Alfie Doughty","Luton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p244262.png",9,8.3,4.5,3.2,3.7,58,1315,1,5,1,28,0,0,0,2,0,0,10,324.8,540.8,132,99.7,0.04,0,0.18,0.22,2.09,1.92,1.03,0.07,5,"Can be alternative"
"Gabriel Osho","Luton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p199056.png",1,2.7,4.4,2.2,0,20,776,1,0,1,17,0,0,0,1,0,0,0,214.4,3.6,25,24.3,0.02,0,0,0.02,2.38,1.97,1.04,0.12,8,"Not recommended"
"Teden Mengi","Luton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p244856.png",0,2,4,1.9,2,26,1130,1,0,1,23,0,0,0,2,0,0,1,262.6,20.6,60,34.4,0.03,0,0.04,0.07,2.03,1.83,0.96,0.08,8,"Not recommended"
"Ryan Giles","Luton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p232351.png",0,0.7,4.3,1,0.1,11,498,0,0,0,14,0,0,0,0,0,0,0,83.2,108.7,38,23.1,0.02,0,0.1,0.12,2.54,2.53,0.9,0,4,"Not recommended"
"Tom Lockyer","Luton","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p108796.png",0,0,4.3,1.6,0.1,23,1169,1,1,0,23,1,0,0,4,0,0,1,286.2,39.2,80,40.6,0.08,0,0.02,0.1,2.13,1.77,1.08,0,1,"Not recommended"
"Issa Kaboré","Luton","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p476369.png",0,0.3,4,1.7,3.6,25,1047,0,2,0,23,0,0,0,4,0,0,3,180.6,158.7,50,38.8,0.02,0,0.1,0.12,2.05,1.98,1.12,0,8,"Not recommended"
"Manuel Akanji","Man City","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p211975.png",6,2.3,4.9,3.3,4.8,49,1261,2,0,4,16,0,0,0,2,1,0,1,295.4,125.7,73,49.5,0.04,0,0.05,0.09,0.96,1.14,1,0.29,5,"Can be alternative"
"Nathan Aké","Man City","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p126184.png",6,4,5,3.6,6.2,54,1005,2,2,2,12,0,0,0,0,0,0,4,251.6,102.7,170,52.5,0.14,0,0.06,0.2,0.8,1.07,0.99,0.18,5,"Can be alternative"
"Rúben Gato Alves Dias","Man City","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p171314.png",1,0.7,5.5,2.2,6.5,36,1297,0,0,3,18,1,0,0,0,0,0,1,284,102.3,106,49.4,0.05,0,0.07,0.12,1.02,1.25,0.97,0.21,1,"Not recommended"
"Rico Lewis","Man City","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p477064.png",1,3,4.3,3.3,0.4,30,362,1,0,3,4,0,0,0,1,0,0,1,62,72.9,44,17.9,0.08,0,0.1,0.18,1.12,0.99,0.99,0.75,6,"Not recommended"
"Sergio Gómez","Man City","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p437468.png",0,0,3.9,2.5,0.9,5,15,0,1,0,0,0,0,0,0,0,0,0,19.4,14.6,4,3.8,0,0,0.48,0.48,0.12,0,0,0,2,"Not recommended"
"John Stones","Man City","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p97299.png",0,0.7,5.3,2.4,2.7,19,410,0,0,2,4,0,0,0,1,0,0,0,53.4,49.3,8,11.1,0,0,0.02,0.02,1.1,0.88,1.1,0.44,6,"Not recommended"
"Kyle Walker","Man City","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p58621.png",6,3,5.4,3.1,17.2,59,1687,0,1,5,21,0,0,0,1,0,0,4,243.2,329.2,63,63.5,0.01,0,0.09,0.1,0.94,1.12,1.01,0.27,5,"Can be alternative"
"Joško Gvardiol","Man City","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p477424.png",6,2.7,4.8,2.6,3.4,39,1202,0,0,4,14,0,0,0,2,0,0,1,216.2,176.4,127,52,0.04,0,0.06,0.1,1.01,1.05,0.97,0.3,5,"Can be alternative"
"Diogo Dalot Teixeira","Man Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p216051.png",0,1,5.1,3.2,3.4,58,1554,1,1,5,24,0,0,0,4,1,0,8,348,327.2,93,77,0.04,0,0.08,0.12,1.66,1.39,0.98,0.29,5,"Can be alternative"
"Victor Lindelöf","Man Utd","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p184667.png",0,0,4.5,3.5,0.3,42,898,1,1,3,10,0,0,0,1,0,0,3,199.4,93.7,40,33.4,0.03,0,0.03,0.06,1.61,1,1,0.3,6,"Not recommended"
"Harry Maguire","Man Utd","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p95658.png",0,0,4.2,3.3,1.1,36,836,0,2,3,12,0,0,0,1,0,0,2,218.8,39.4,60,32,0.05,0,0.03,0.08,1.85,1.29,0.97,0.32,8,"Not recommended"
"Lisandro Martínez","Man Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p221820.png",0,0,4.7,1,2.2,5,375,0,1,0,8,1,0,0,2,0,0,0,74,43.5,2,11.9,0,0,0.02,0.02,1.32,1.92,1.2,0,4,"Not recommended"
"Raphaël Varane","Man Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p90152.png",0,1.8,4.9,2.5,2.3,28,610,1,0,2,9,0,0,0,1,0,0,2,182,28.7,66,27.7,0.1,0,0.05,0.15,1.62,1.33,1.03,0.3,8,"Not recommended"
"Luke Shaw","Man Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p106760.png",0,1.2,5.2,2.6,3.1,21,693,0,0,3,9,0,0,0,4,0,0,0,161.8,164.2,21,34.7,0.01,0,0.1,0.11,1.88,1.17,1.04,0.39,6,"Not recommended"
"Aaron Wan-Bissaka","Man Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p214590.png",1,0.8,4.4,2.6,2,29,792,0,1,2,13,0,0,0,2,0,0,5,186.2,83.6,31,30.2,0.01,0,0.12,0.13,1.86,1.48,1.02,0.23,8,"Not recommended"
"Jonny Evans","Man Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p37642.png",1,2,4,2.7,1,32,819,0,1,3,13,0,0,0,2,0,0,3,153.8,45.6,15,21.5,0.01,0,0.02,0.03,1.72,1.43,0.99,0.33,6,"Not recommended"
"Willy Kambwala","Man Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p518466.png",0,0.5,4,1,0,2,84,0,0,0,2,0,0,0,0,0,0,0,18,1.4,0,1.9,0,0,0.01,0.01,1.46,2.14,1.07,0,4,"Not recommended"
"Lewis Hall","Newcastle","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p487838.png",1,0.8,4.3,0.9,0.1,6,100,0,0,0,2,0,0,0,1,0,0,0,27,4.4,17,4.8,0.02,0,0.02,0.04,3.02,1.8,0.9,0,4,"Not recommended"
"Sven Botman","Newcastle","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p220237.png",6,2.2,4.5,4.3,5.5,39,673,2,1,2,10,0,0,0,1,0,0,4,219.6,37.9,80,33.8,0.07,0,0.06,0.13,2.19,1.34,0.94,0.27,5,"Can be alternative"
"Dan Burn","Newcastle","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p78916.png",1,4.2,4.4,3.6,4.3,54,1247,2,0,5,17,0,0,0,2,0,0,2,295.4,63.2,188,54.7,0.15,0,0.02,0.17,1.57,1.23,1.08,0.36,5,"Can be alternative"
"Emil Krafth","Newcastle","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p111773.png",0,1.8,4.4,2.5,0,10,82,0,0,1,1,0,0,0,0,0,0,1,28.8,62.8,5,9.6,0.08,0,0.45,0.53,1.51,1.1,0,1.1,2,"Not recommended"
"Jamaal Lascelles","Newcastle","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p101148.png",1,2,4.1,3.1,5.1,44,1044,1,0,5,15,0,0,0,4,0,0,3,231.6,34.9,69,33.6,0.06,0,0.01,0.07,1.53,1.29,1.03,0.43,8,"Not recommended"
"Fabian Schär","Newcastle","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p119471.png",0,0.8,5.2,2.8,5.7,56,1723,0,1,6,29,0,0,0,3,0,0,4,380.6,82.7,109,57.3,0.05,0,0.05,0.1,1.81,1.51,1.04,0.31,5,"Can be alternative"
"Matt Targett","Newcastle","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p169359.png",0,0,4.2,0.7,0.1,2,77,0,0,0,4,0,0,0,1,0,0,0,9.2,11.9,0,2.2,0,0,0.01,0.01,2.07,4.68,1.17,0,4,"Not recommended"
"Kieran Trippier","Newcastle","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p77794.png",0,0.8,6.7,4.7,38,85,1572,0,7,6,25,0,0,0,5,0,0,18,504.4,807.1,73,138.4,0.01,0,0.33,0.34,1.47,1.43,1.03,0.34,7,"Recommended"
"Paul Dummett","Newcastle","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p106618.png",0,0,3.9,1,0.3,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0.3,0,0,0,0,0,0,0,0,3,"Not recommended"
"Tino Livramento","Newcastle","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p441191.png",0,2.8,4.4,1.9,1.3,26,696,0,0,2,14,0,0,0,1,0,0,4,139.4,89.9,29,26,0.01,0,0.05,0.06,2.43,1.81,0.78,0.26,8,"Not recommended"
"Alex Murphy","Newcastle","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p545477.png",0,0,3.9,1,0.4,1,3,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,3,"Not recommended"
"Nuno Varela Tavares","Nott'm Forest","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p437626.png",0,0,4,0,0.3,0,93,0,0,0,2,0,0,0,2,0,0,0,9.2,7.2,2,1.8,0,0,0.03,0.03,1.63,1.94,0.97,0,4,"Not recommended"
"Serge Aurier","Nott'm Forest","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p80226.png",0,0,4.5,2.2,0.8,27,831,0,2,1,15,0,0,0,2,0,0,3,187.6,84.8,45,31.8,0.02,0,0.05,0.07,1.51,1.62,1.08,0.11,8,"Not recommended"
"Willy Boly","Nott'm Forest","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p90585.png",1,-0.2,4.5,2.5,0.4,37,994,1,0,3,18,0,0,0,1,1,0,3,317.8,59.1,161,53.9,0.12,0,0.06,0.18,1.78,1.63,1.18,0.27,8,"Not recommended"
"Felipe Augusto de Almeida Monteiro","Nott'm Forest","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p116404.png",0,0,4.4,0.3,0,1,132,0,0,0,5,0,0,0,1,0,0,0,25.8,11.3,12,4.9,0.08,0,0,0.08,1.68,3.41,0.68,0,4,"Not recommended"
"Scott McKenna","Nott'm Forest","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p168281.png",0,0,4.4,2.4,0.1,12,416,0,0,1,6,0,0,0,0,0,0,1,89,32.4,17,13.8,0.05,0,0.04,0.09,1.22,1.3,1.08,0.22,6,"Not recommended"
"Moussa Niakhaté","Nott'm Forest","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p199170.png",2,1.5,4.5,1.3,0.1,18,977,0,0,1,22,0,0,0,2,1,0,1,188.8,46.6,22,25.7,0.03,0,0.02,0.05,1.86,2.03,0.92,0.09,8,"Not recommended"
"Harry Toffolo","Nott'm Forest","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p114241.png",1,0.5,4.4,3.1,0.2,40,919,1,3,2,20,0,0,0,2,0,0,3,262,210.2,161,63.2,0.11,0,0.08,0.19,1.55,1.96,0.98,0.2,5,"Can be alternative"
"Neco Williams","Nott'm Forest","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p215136.png",1,0.8,4.3,1.5,0.2,17,428,0,1,0,9,0,0,0,1,0,0,2,172.2,109.3,22,30.4,0.05,0,0.23,0.28,1.51,1.89,0.84,0,4,"Not recommended"
"Joe Worrall","Nott'm Forest","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p208912.png",0,0.2,4.3,1.9,0.1,13,438,0,0,1,9,0,0,0,0,1,0,3,90,22.1,18,13,0.02,0,0.06,0.08,1.85,1.85,1.03,0.21,4,"Not recommended"
"Olu Aina","Nott'm Forest","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p159506.png",2,1.2,4.5,2.4,0.3,34,987,1,1,2,24,0,0,0,3,0,0,2,186.2,75.7,26,28.8,0.02,0,0.04,0.06,1.69,2.19,1.09,0.18,8,"Not recommended"
"Gonzalo Montiel","Nott'm Forest","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p218430.png",12,3.2,4.4,2.5,0.1,15,308,0,1,1,2,0,0,0,3,0,0,3,70.6,52.4,13,13.7,0.03,0,0.05,0.08,1.08,0.58,0.88,0.29,6,"Not recommended"
"Murillo Santiago Costa dos Santos","Nott'm Forest","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p575476.png",2,2,4.5,2.1,0.1,30,1232,0,1,2,25,0,0,0,2,0,0,1,308.8,64.1,85,45.8,0.07,0,0.02,0.09,1.58,1.83,1.02,0.15,8,"Not recommended"
"Auston Trusty","Sheffield Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p201410.png",1,1,3.9,1.2,2.4,18,1182,0,0,1,31,0,0,0,3,0,0,0,235.6,21.7,31,28.8,0.01,0,0,0.01,1.74,2.36,0.99,0.08,8,"Not recommended"
"Anel Ahmedhodžić","Sheffield Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p233821.png",0,2.2,4.3,1.5,0.2,21,1215,1,0,1,35,0,0,0,5,0,0,4,245.4,21.3,97,36.6,0.09,0,0.01,0.1,2.13,2.59,0.96,0.07,8,"Not recommended"
"George Baldock","Sheffield Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p82691.png",1,0.8,3.9,1.7,6.1,19,833,0,2,0,18,0,0,0,4,0,0,2,159.2,92,19,26.9,0,0,0.06,0.06,1.98,1.94,1.08,0,4,"Not recommended"
"Chris Basham","Sheffield Utd","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p40386.png",0,0,3.9,1,0.4,8,316,0,0,0,6,0,0,0,1,0,0,0,69.2,27.4,14,11.1,0.03,0,0.02,0.05,2.03,1.71,0.85,0,4,"Not recommended"
"Jayden Bogle","Sheffield Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p226182.png",0,0.5,4.5,2,0.1,32,1217,1,2,2,29,0,0,0,6,0,0,0,198.6,69.9,110,37.9,0.09,0,0.03,0.12,1.75,2.14,1.04,0.15,8,"Not recommended"
"John Egan","Sheffield Utd","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p108416.png",0,0,4.3,0.2,0.1,1,482,0,0,0,17,0,0,0,2,0,0,0,91.2,1.4,38,13.1,0.03,0,0,0.03,2.77,3.17,1.12,0,4,"Not recommended"
"Max Lowe","Sheffield Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p155197.png",0,0.2,4.3,0.9,0,6,310,0,0,0,8,0,0,0,1,0,0,0,61.6,18.1,18,9.7,0.17,0,0.01,0.18,1.92,2.32,0.87,0,4,"Not recommended"
"Rhys Norrington-Davies","Sheffield Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p443211.png",1,0.2,3.9,1,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Not recommended"
"Jack Robinson","Sheffield Utd","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p83427.png",1,0.2,4.4,0.9,0.1,18,1659,0,1,1,47,1,0,0,6,0,0,1,309.4,72.5,52,43.6,0.03,0,0.02,0.05,1.96,2.55,0.98,0.05,1,"Not recommended"
