"cluster","event_points","form","now_cost","points_per_game","selected_by_percent","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","bonus","influence","creativity","threat","ict_index","expected_goals_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90"
1,1.25,0.608333333333333,4.46666666666667,1.76666666666667,0.866666666666667,25.5833333333333,1127.25,0.0833333333333333,0.833333333333333,2.08333333333333,23,1.08333333333333,0.833333333333333,226.4,97.3416666666667,52.8333333333333,37.725,0.04,0.0433333333333333,0.0833333333333333,1.66583333333333,1.79166666666667,1.0225,0.180833333333333
2,0.2,0.96,4.68,2.16,1.58,10.2,158.8,0.2,0.6,0.4,2.8,0,1,45.88,68.58,43,15.72,0.142,0.442,0.584,1.012,1.15,0.352,0.274
3,0.285714285714286,0.171428571428571,4.07142857142857,0.971428571428571,0.185714285714286,1.42857142857143,9,0,0,0,0.142857142857143,0,0,3.22857142857143,0.257142857142857,0.285714285714286,0.385714285714286,0,0,0,0.822857142857143,0.268571428571429,0,0
4,0.34375,0.371875,4.234375,1.0125,0.6625,7.34375,360.21875,0.03125,0.34375,0.03125,9,0.03125,0.28125,73.5375,36.70625,18.5,12.88125,0.02875,0.0590625,0.0878125,1.8740625,2.386875,1.0696875,0.0065625
5,2.86111111111111,2.70555555555556,4.84166666666667,3.26111111111111,7.80833333333333,55.7777777777778,1446.05555555556,1.11111111111111,1.27777777777778,4.25,21.75,0.0833333333333333,5.27777777777778,343.555555555556,167.561111111111,122.888888888889,63.4777777777778,0.0669444444444444,0.0691666666666667,0.136111111111111,1.42194444444444,1.35694444444444,1.01416666666667,0.264444444444444
6,1.55555555555556,1.53333333333333,4.45555555555556,2.81111111111111,0.674074074074074,23.1481481481481,524.962962962963,0.222222222222222,0.407407407407407,2.18518518518519,6.66666666666667,0.037037037037037,1.37037037037037,106.607407407407,59.8222222222222,24.5925925925926,19.1148148148148,0.0288888888888889,0.0507407407407407,0.0796296296296296,1.33740740740741,1.0262962962963,0.985185185185185,0.436296296296296
7,0.666666666666667,3.5,7,4.73333333333333,30.7,86.3333333333333,1592.33333333333,0.666666666666667,6,6,22.3333333333333,0,15.6666666666667,468.066666666667,705.366666666667,133.666666666667,130.766666666667,0.08,0.266666666666667,0.346666666666667,1.42333333333333,1.25,1.01666666666667,0.34
8,1.16666666666667,1.51666666666667,4.41666666666667,2.11458333333333,1.2625,28.8333333333333,1023.0625,0.4375,0.5625,1.89583333333333,20,0,1.9375,221.216666666667,74.19375,62.2708333333333,35.8208333333333,0.055,0.0483333333333333,0.103333333333333,1.76666666666667,1.76520833333333,0.991041666666667,0.167916666666667
