"cluster","event_points","form","now_cost","points_per_game","selected_by_percent","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","bonus","influence","creativity","threat","ict_index","expected_goals_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90"
1,0.96,0.96,5.344,2.356,0.7,18,236.04,0.92,0.96,0.52,4.24,0,1.16,73.064,62.56,86.44,22.164,0.4056,0.2292,0.6348,1.426,1.5712,0.8728,0.172
2,2.39285714285714,2.39285714285714,5.1,2.79285714285714,0.701785714285714,46.5178571428571,1200.58928571429,1.75,1.67857142857143,3.53571428571429,21.4107142857143,0,2.78571428571429,241.767857142857,220.973214285714,178.75,64.1232142857143,0.139821428571429,0.0957142857142857,0.235535714285714,1.61107142857143,1.62910714285714,1.05803571428571,0.27
3,0.2,0.225,4.7,1.06,0.04,4.85,98.9,0,0.025,0,2.725,0,0,13.225,18.7425,11.5,4.3125,0.062,0.0745,0.1365,2.0205,1.8105,0.2125,0
4,3.83333333333333,3.46666666666667,6.46666666666667,4.21666666666667,5.87777777777778,69.6388888888889,1258.44444444444,3.94444444444444,4.05555555555556,3.75,18.7222222222222,0,6.83333333333333,344.294444444444,396.113888888889,335.777777777778,107.569444444444,0.255,0.213611111111111,0.468611111111111,1.35333333333333,1.32611111111111,1.03138888888889,0.2725
5,1.08196721311475,1.0016393442623,4.89180327868853,1.74098360655738,0.272131147540984,18.6393442622951,550.032786885246,0.377049180327869,0.39344262295082,1.39344262295082,9.60655737704918,0.0163934426229508,0.360655737704918,94.2163934426229,97.555737704918,60.5081967213115,25.1885245901639,0.0949180327868853,0.0918032786885246,0.18672131147541,1.57918032786885,1.53098360655738,0.96,0.25983606557377
6,10.8333333333333,6.48333333333333,8.96666666666667,6.08333333333333,34.9666666666667,116.333333333333,1577.33333333333,9.33333333333333,5.66666666666667,5.33333333333333,22.1666666666667,0.166666666666667,13.5,572.666666666667,507.35,650.833333333333,173.15,0.436666666666667,0.243333333333333,0.68,1.355,1.28666666666667,1.01333333333333,0.296666666666667
7,0,0,4.5,1,0,1,7,0,0,0,2,0,0,0,0.3,0,0,0,0,0,16.46,25.71,0,0
