"chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","position.x","ep_next","ep_this","event_points","first_name","form.x","id.x","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","corners_and_indirect_freekicks_order","corners_and_indirect_freekicks_text","direct_freekicks_order","direct_freekicks_text","penalties_order","penalties_text","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","now_cost_rank","now_cost_rank_type","form_rank","form_rank_type","points_per_game_rank","points_per_game_rank_type","selected_rank","selected_rank_type","starts_per_90","clean_sheets_per_90","plural_name","plural_name_short","singular_name","singular_name_short","squad_select","squad_min_play","squad_max_play","ui_shirt_specific","element_count","draw","form.y","id.y","loss","name","played","points","position.y","short_name","strength","team_division","unavailable","win","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","pulse_id","player"
75,NA,206325,0,0,2,-2,2,2,"2.5","3.3",0,"Oleksandr","2.8",31,FALSE,"Calf injury - 75% chance of playing","2023-12-31T22:00:10.846948Z",52,"206325.jpg","3.9","Zinchenko","10.8",FALSE,NA,"d",1,3,71,1453531,24322,1052634,314140,"0.5","13.7","Zinchenko",1202,1,1,6,11,0,0,0,2,0,0,11,320,"270.6","310.9","96.0","67.7",14,"0.43","2.15","2.58","10.00",129,50,52,8,185,37,104,17,NA,"",NA,"",NA,"",0.03,0,0.16,0.19,0.75,0.82,159,16,126,35,57,11,36,12,1.05,0.45,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,251,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Oleksandr Zinchenko"
100,100,154561,0,0,-1,1,0,1,"4.3","4.3",1,"David","3.8",113,FALSE,"","2023-11-13T01:00:08.923385Z",49,"154561.jpg","3.7","Raya Martin","6.2",FALSE,NA,"a",1,3,55,769881,70871,669400,58377,"0.8","11.2","Raya",1350,0,0,5,16,0,1,0,0,0,23,2,253,"224.8","0.0","0.0","22.4",15,"0.00","0.02","0.02","12.00",173,22,731,84,728,82,317,22,NA,"",NA,"",NA,"",0,1.53,0,0,0.8,1.07,229,8,60,6,73,8,58,11,1,0.33,"Goalkeepers","GKP","Goalkeeper","GKP",2,1,1,TRUE,88,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"David Raya Martin"
100,100,204480,0,0,-1,1,1,3,"2.5","2.5",2,"Declan","2.0",540,FALSE,"","2023-09-24T22:30:08.321972Z",54,"204480.jpg","3.5","Rice","5.1",FALSE,NA,"a",1,3,69,485287,12073,643247,35538,"0.4","12.8","Rice",1743,3,1,7,19,0,0,0,2,0,0,7,356,"451.6","273.1","170.0","89.5",20,"1.55","1.19","2.74","16.13",31,11,61,47,121,77,59,42,NA,"",4,"",NA,"",0.08,0,0.06,0.14,0.83,0.98,120,73,182,81,94,48,74,27,1.03,0.36,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,338,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Declan Rice"
100,100,200641,0,0,-2,2,0,3,"1.0","1.0",1,"Reiss","0.5",578,FALSE,"","2023-08-07T15:30:06.067296Z",48,"200641.jpg","0.9","Nelson","0.0",FALSE,NA,"a",1,3,8,6312,81,7583,139,"0.1","1.7","Nelson",102,0,0,0,0,0,0,0,1,0,0,0,26,"20.6","41.2","13.0","7.4",0,"0.04","0.33","0.37","1.71",422,190,325,172,386,194,407,187,NA,"",NA,"",NA,"",0.04,0,0.29,0.33,1.51,0,286,185,321,143,480,225,546,196,0,0,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,338,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Reiss Nelson"
0,0,445122,0,0,-4,4,0,2,"0.0","0.0",0,"Jurriën","0.0",585,FALSE,"Knee injury - Unknown return date","2023-08-12T18:00:07.121160Z",46,"445122.jpg","0.0","Timber","0.4",FALSE,NA,"i",1,3,0,12241,154,479004,480,"0.0","0.0","J.Timber",49,0,0,0,0,0,0,0,1,0,0,0,3,"3.6","2.4","0.0","0.6",1,"0.00","0.01","0.01","0.28",466,169,427,157,714,250,471,168,NA,"",NA,"",NA,"",0,0,0.02,0.02,0.51,0,347,48,661,240,725,250,240,91,1.84,0,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,251,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Jurriën Timber"
NA,NA,463748,0,0,0,0,0,1,"0.5","0.5",0,"Karl","0.0",646,FALSE,"",NA,40,"463748.jpg","0.0","Hein","0.1",FALSE,NA,"a",1,3,0,4542,119,3881,229,"0.0","0.0","Hein",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",565,74,551,58,525,48,573,74,NA,"",NA,"",NA,"",0,0,0,0,0,0,692,54,463,67,579,74,512,70,0,0,"Goalkeepers","GKP","Goalkeeper","GKP",2,1,1,TRUE,88,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Karl Hein"
NA,NA,516874,0,0,0,0,0,3,"0.5","0.5",0,"Charles","0.0",735,FALSE,"",NA,45,"516874.jpg","0.0","Sagoe","0.0",FALSE,NA,"a",1,3,0,585,50,411,70,"0.0","0.0","Sagoe",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",702,289,698,289,691,288,708,292,NA,"",NA,"",NA,"",0,0,0,0,0,0,455,269,638,251,709,294,729,301,0,0,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,338,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Charles Sagoe"
NA,NA,535262,0,0,0,0,0,2,"0.5","0.5",0,"Reuell","0.0",736,FALSE,"",NA,40,"535262.jpg","0.0","Walters","0.0",FALSE,NA,"a",1,3,0,2434,297,1499,354,"0.0","0.0","Walters",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",588,229,574,228,550,220,595,229,NA,"",NA,"",NA,"",0,0,0,0,0,0,719,223,486,194,601,226,598,214,0,0,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,251,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Reuell Walters"
NA,NA,535264,0,0,0,0,0,3,"0.5","0.5",0,"Bradley","0.0",737,FALSE,"",NA,45,"535264.jpg","0.0","Ibrahim","0.0",FALSE,NA,"a",1,3,0,501,40,365,57,"0.0","0.0","Ibrahim",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",711,294,707,294,701,294,717,297,NA,"",NA,"",NA,"",0,0,0,0,0,0,467,276,648,256,717,298,727,299,0,0,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,338,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Bradley Ibrahim"
NA,NA,499169,0,0,0,0,0,3,"0.5","0.5",0,"Myles","0.0",764,FALSE,"",NA,45,"499169.jpg","0.0","Lewis-Skelly","0.0",FALSE,NA,"a",1,3,0,36,18,22,14,"0.0","0.0","Lewis-Skelly",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",694,282,688,281,681,280,700,285,NA,"",NA,"",NA,"",0,0,0,0,0,0,443,259,628,243,701,287,773,335,0,0,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,338,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Myles Lewis-Skelly"
