"cluster","event_points","form","now_cost","points_per_game","total_points","minutes","clean_sheets","goals_conceded","saves","bonus","ict_index","saves_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90"
1,9.5,6.1,4.2,4,49.5,1037,2.5,19.5,49.5,4.5,38.55,4.565,2.57,1.945,0.995,0.205
2,2.66666666666667,2.63333333333333,4.48333333333333,2.66666666666667,48.1666666666667,1631.16666666667,1.83333333333333,34.5,65.1666666666667,2.83333333333333,49.6,3.55666666666667,1.72166666666667,1.87666666666667,1.01166666666667,0.103333333333333
3,0,0.1,3.9,3.65,10,191,1,2.5,6.5,0.5,5,3.275,1.345,1.21,0.7,0.365
4,1.18181818181818,0.981818181818182,4.23636363636364,2.54545454545455,11.2727272727273,385.090909090909,0.636363636363636,7.18181818181818,10.9090909090909,0.454545454545455,9.44545454545455,2.41545454545455,1.28,1.67909090909091,0.998181818181818,0.160909090909091
5,1.5,2.29166666666667,4.975,3.625,64,1596.16666666667,5.08333333333333,23.75,51.3333333333333,6.08333333333333,43.1833333333333,2.85916666666667,1.37166666666667,1.3275,1,0.289166666666667
